"st_fips","state","variable","estimate","moe","year","sex","marital_status","age"
"01","Alabama","B12002_123",87723,4305,2015,"F","Married","60-64"
"01","Alabama","B12002_124",120349,3845,2015,"F","Married","65-74"
"01","Alabama","B12002_125",45095,2193,2015,"F","Married","75-84"
"01","Alabama","B12002_126",6095,1123,2015,"F","Married","85+"
"01","Alabama","B12002_129",245,198,2015,"F","Separated","15-17"
"01","Alabama","B12002_130",189,174,2015,"F","Separated","18-19"
"01","Alabama","B12002_131",1840,762,2015,"F","Separated","20-24"
"01","Alabama","B12002_132",6182,1703,2015,"F","Separated","25-29"
"01","Alabama","B12002_133",6299,1563,2015,"F","Separated","30-34"
"01","Alabama","B12002_134",7641,1647,2015,"F","Separated","35-39"
"01","Alabama","B12002_135",7091,1344,2015,"F","Separated","40-44"
"01","Alabama","B12002_136",7505,1799,2015,"F","Separated","45-49"
"01","Alabama","B12002_137",7670,1495,2015,"F","Separated","50-54"
"01","Alabama","B12002_138",4871,868,2015,"F","Separated","55-59"
"01","Alabama","B12002_139",5717,1173,2015,"F","Separated","60-64"
"01","Alabama","B12002_140",3916,859,2015,"F","Separated","65-74"
"01","Alabama","B12002_141",1091,453,2015,"F","Separated","75-84"
"01","Alabama","B12002_142",195,232,2015,"F","Separated","85+"
"01","Alabama","B12002_159",72,125,2015,"F","Widowed","15-17"
"01","Alabama","B12002_160",31,59,2015,"F","Widowed","18-19"
"01","Alabama","B12002_161",225,362,2015,"F","Widowed","20-24"
"01","Alabama","B12002_162",469,317,2015,"F","Widowed","25-29"
"01","Alabama","B12002_163",1442,730,2015,"F","Widowed","30-34"
"01","Alabama","B12002_164",1773,804,2015,"F","Widowed","35-39"
