"st_fips","state","estimate","moe","year","child_age","child_parent"
4,"Arizona",143438,5641,2015,"00-02","Married Couple"
4,"Arizona",96607,3982,2015,"03-04","Married Couple"
4,"Arizona",46019,3341,2015,"05","Married Couple"
4,"Arizona",320331,7716,2015,"06-11","Married Couple"
4,"Arizona",313140,8461,2015,"12-17","Married Couple"
4,"Arizona",20431,2810,2015,"00-02","Single Parent (Dad)"
4,"Arizona",13437,2310,2015,"03-04","Single Parent (Dad)"
4,"Arizona",5686,1382,2015,"05","Single Parent (Dad)"
4,"Arizona",41723,4071,2015,"06-11","Single Parent (Dad)"
4,"Arizona",39971,3895,2015,"12-17","Single Parent (Dad)"
4,"Arizona",45480,3381,2015,"00-02","Single Parent (Mom)"
4,"Arizona",38404,3124,2015,"03-04","Single Parent (Mom)"
4,"Arizona",18159,2433,2015,"05","Single Parent (Mom)"
4,"Arizona",119132,7600,2015,"06-11","Single Parent (Mom)"
4,"Arizona",124180,6950,2015,"12-17","Single Parent (Mom)"
4,"Arizona",135504,5123,2017,"00-02","Married Couple"
4,"Arizona",103030,4022,2017,"03-04","Married Couple"
4,"Arizona",47050,3385,2017,"05","Married Couple"
4,"Arizona",326507,9614,2017,"06-11","Married Couple"
4,"Arizona",322028,8750,2017,"12-17","Married Couple"
4,"Arizona",20602,2663,2017,"00-02","Single Parent (Dad)"
4,"Arizona",14971,2314,2017,"03-04","Single Parent (Dad)"
4,"Arizona",5055,1140,2017,"05","Single Parent (Dad)"
4,"Arizona",41186,4560,2017,"06-11","Single Parent (Dad)"
4,"Arizona",40336,4969,2017,"12-17","Single Parent (Dad)"
4,"Arizona",42918,3980,2017,"00-02","Single Parent (Mom)"
4,"Arizona",33518,3631,2017,"03-04","Single Parent (Mom)"
4,"Arizona",13936,2480,2017,"05","Single Parent (Mom)"
4,"Arizona",112977,7871,2017,"06-11","Single Parent (Mom)"
4,"Arizona",118762,7648,2017,"12-17","Single Parent (Mom)"
4,"Arizona",134828,6410,2019,"00-02","Married Couple"
4,"Arizona",107250,5943,2019,"03-04","Married Couple"
4,"Arizona",50803,4183,2019,"05","Married Couple"
4,"Arizona",316686,8947,2019,"06-11","Married Couple"
4,"Arizona",338008,11152,2019,"12-17","Married Couple"
4,"Arizona",18122,3056,2019,"00-02","Single Parent (Dad)"
4,"Arizona",12368,2461,2019,"03-04","Single Parent (Dad)"
4,"Arizona",5162,1344,2019,"05","Single Parent (Dad)"
4,"Arizona",43855,4837,2019,"06-11","Single Parent (Dad)"
4,"Arizona",45653,5012,2019,"12-17","Single Parent (Dad)"
4,"Arizona",38360,3771,2019,"00-02","Single Parent (Mom)"
4,"Arizona",36822,4863,2019,"03-04","Single Parent (Mom)"
4,"Arizona",15024,2436,2019,"05","Single Parent (Mom)"
4,"Arizona",107849,6651,2019,"06-11","Single Parent (Mom)"
4,"Arizona",114140,7745,2019,"12-17","Single Parent (Mom)"
4,"Arizona",131525,6183,2021,"00-02","Married Couple"
4,"Arizona",96287,4792,2021,"03-04","Married Couple"
4,"Arizona",48947,4126,2021,"05","Married Couple"
4,"Arizona",332963,11256,2021,"06-11","Married Couple"
4,"Arizona",340670,10298,2021,"12-17","Married Couple"
4,"Arizona",20786,3221,2021,"00-02","Single Parent (Dad)"
4,"Arizona",14829,2584,2021,"03-04","Single Parent (Dad)"
4,"Arizona",5888,1517,2021,"05","Single Parent (Dad)"
4,"Arizona",43996,4825,2021,"06-11","Single Parent (Dad)"
4,"Arizona",46592,5443,2021,"12-17","Single Parent (Dad)"
4,"Arizona",40799,4505,2021,"00-02","Single Parent (Mom)"
4,"Arizona",33900,3442,2021,"03-04","Single Parent (Mom)"
4,"Arizona",14060,2076,2021,"05","Single Parent (Mom)"
4,"Arizona",102093,6423,2021,"06-11","Single Parent (Mom)"
4,"Arizona",115105,7533,2021,"12-17","Single Parent (Mom)"
4,"Arizona",131163,6236,2023,"00-02","Married Couple"
4,"Arizona",97697,5710,2023,"03-04","Married Couple"
4,"Arizona",47566,4090,2023,"05","Married Couple"
4,"Arizona",316260,10729,2023,"06-11","Married Couple"
